marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Phosphate","phosphate","","MEASURED","Core; Insight 360; Signature","Kidney Health; Bone Health","","","DRAFT","","245","CROSS-REFERENCES(Vitamin D)","A mineral that works with calcium to build bone and is central to how cells store energy.","Can reflect reduced kidney function.","Can reflect poor absorption, vitamin D deficiency or certain medications.","Interpreted alongside calcium and vitamin D."
"Pike (IgG)","pike-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Pike in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pike.","","",""
"Pine Nut (IgG)","pine-nut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Pine Nut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pine Nut.","","",""
"Pineapple (IgG)","pineapple-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Pineapple in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pineapple.","","",""
"Pistachio (IgG)","pistachio-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Pistachio in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pistachio.","","",""
"Plaice (IgG)","plaice-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Plaice in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Plaice.","","",""
"Platelet Count","platelets","","MEASURED","Signature; Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Insight 360; Core","Full Blood Count","","","DRAFT","","222","","Cell fragments that help your blood clot.","Can occur after inflammation, infection, or iron deficiency.","Can increase bruising or bleeding risk.","Usually monitored alongside other blood count markers rather than in isolation."
"Plum (IgG)","plum-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Plum in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Plum.","","",""
"Pomegranate (IgG)","pomegranate-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Pomegranate in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pomegranate.","","",""
"Pork (IgG)","pork-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Pork in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Pork.","","",""
"Potassium","potassium","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Kidney Health","","","DRAFT","","257","","An electrolyte essential for nerve and muscle function, including the heart.","Can reflect kidney function or certain medications.","Can occur with certain medications or gastrointestinal losses.","Significant abnormalities here warrant prompt clinical attention."
"Potato (IgG)","potato-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Potato in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Potato.","","",""
"Presence of Oxalate-degrading Bacteria","presence-of-oxalate-degrading-bacteria","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","226","","Whether bacteria able to break down oxalate, a compound found in many plant foods and in some kidney stones, appeared in your sample. It is reported as part of the microbiome’s make-up rather than as a measurement of activity.","","",""
"Progesterone","progesterone","","MEASURED","HSC14 Fertility; Insight 360; Signature","Female Hormone","","","DRAFT","","162","","A hormone essential for the menstrual cycle and early pregnancy.","","","Timing in the menstrual cycle significantly affects this result. Usually tested mid-luteal phase."
"Prolactin","prolactin","","MEASURED","HSC14 Fertility; Core; Insight 360; Signature","Male Hormone; Pituitary & Adrenal; Female Hormone","","","DRAFT","","250","","A hormone best known for its role in milk production, also relevant to menstrual and reproductive health.","Can affect menstrual cycles and fertility.","","Can rise with stress or shortly after a meal. Repeat testing under calm, fasted conditions if raised."
"Prostate Cancer Risk Score","prostate-cancer-risk-score","","QUALITATIVE","Insight 360; Signature","Prostate Health","","","DRAFT","","239","","A calculated score combining PSA measurements with other details to express prostate cancer risk. Scores of this kind describe likelihood across groups of people, and they are neither a diagnosis nor a substitute for specialist assessment.","","",""
"Protein (urine)","protein-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","188","","A urine dipstick reading for protein. The strip responds mainly to albumin and is deliberately coarse, which is why small amounts are measured separately as an albumin to creatinine ratio.","","",""
"Proteus spp.","proteus-spp","","QUALITATIVE","Signature","UTI","","","DRAFT","","175","","Proteus species, bacteria known for making urine more alkaline and for their association with urinary stones. The panel reports whether they were detected in the urine sample.","","",""
"Providencia stuartii","providencia-stuartii","","QUALITATIVE","Signature","UTI","","","DRAFT","","170","","Providencia stuartii, most often associated with urinary infection in people who have a long-term catheter. The panel reports whether it was detected in the urine sample.","","",""
"Pseudomonas aeruginosa","pseudomonas-aeruginosa","","QUALITATIVE","Signature","UTI","","","DRAFT","","166","","Pseudomonas aeruginosa, a bacterium widespread in soil and water that can also cause urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"Pulse","pulse","","MEASURED","Insight 360; Signature","Personal Health Measurements","","","DRAFT","","157","","The number of times the heart beats each minute, counted at your appointment. It shifts with activity, temperature, caffeine and how recently you have moved.","","",""
"Quail (IgG)","quail-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Quail in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Quail.","","",""
"Quinoa (IgG)","quinoa-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Quinoa in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Quinoa.","","",""
"RBC Magnesium","rbc-magnesium","","MEASURED","Nutritional Health HSC15","","","","DRAFT","","227","","A measure of magnesium stored inside your red blood cells, a more reliable picture than blood serum levels.","","Can contribute to fatigue, cramps, and poor sleep.","Nuts, seeds, wholegrains, and leafy greens are good dietary sources."
